City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Nabire,ID,76.26,clear sky,-3.3667,135.4833,Hotel Nusantara I
515,Bodden Town,KY,82.98,scattered clouds,19.2833,-81.25,Will T Place
516,Hobyo,SO,79.12,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
517,Ferrol,ES,70.32,few clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
519,Along,IN,73.53,scattered clouds,28.1667,94.7667,Hotel West
522,Porbandar,IN,82.13,clear sky,21.6422,69.6093,Lords Inn Porbandar
523,Soubre,CI,86.07,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
525,Praya,CV,77.02,clear sky,14.9215,-23.5087,LT Aparthotel
526,Ixtapa,MX,74.43,overcast clouds,20.7,-105.2,hotel la terminal
528,Coari,BR,87.8,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
532,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
533,Alcudia,ES,87.37,overcast clouds,39.8532,3.1214,Zafiro Tropic
535,Kharabali,RU,78.21,overcast clouds,47.4196,47.2568,Baza Otdiha Fishing Life
538,San Joaquin,US,75.45,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
541,Kloulklubed,PW,75.7,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
549,Mason City,US,72.32,clear sky,43.1536,-93.201,Days Inn by Wyndham Mason City
552,Eseka,CM,83.14,broken clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
553,Yenisehir,TR,77.05,broken clouds,40.2644,29.6531,Öncü Sosyal Tesisleri
554,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
557,Komsomolskiy,UZ,79.52,scattered clouds,40.4272,71.7189,Ikathouse
558,Gwadar,PK,83.41,clear sky,25.1216,62.3254,Sadaf Resort
564,Lufilufi,WS,80.82,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
566,Sinnai,IT,85.51,clear sky,39.3042,9.2036,La Rosa Dei Venti Sardinya
570,Nurota,UZ,80.82,few clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
573,Prainha,BR,84.18,scattered clouds,-1.8,-53.48,Casa Rocha
575,Lardos,GR,80.42,scattered clouds,36.0942,28.0157,Lindos Princess Beach Hotel
576,Shaowu,CN,74.1,overcast clouds,27.3409,117.4831,Yijie Express Hotel
578,Varzea Da Palma,BR,89.62,clear sky,-17.5981,-44.7308,Casa Fernandes
581,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
585,Belmonte,BR,81.25,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
586,Alta Floresta,BR,89.06,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
587,Peniche,PT,73.08,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
589,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
590,Umm Lajj,SA,85.19,overcast clouds,25.0213,37.2685,Moon light Furnished Units
592,Gigmoto,PH,81.14,scattered clouds,13.7796,124.39,Cj's Travellers Inn
596,Alabino,RU,76.86,few clouds,55.5268,37.0103,Apartment on Iasnaia 5
598,Steinbach,DE,73.87,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
599,Tawau,MY,78.89,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
600,Tautira,PF,77.05,moderate rain,-17.7333,-149.15,Pension Oaoa
603,La Asuncion,VE,82.31,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
606,Sainte-Marie,RE,73.56,few clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
608,Kikwit,CD,82.08,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
609,Villefranche-Sur-Saone,FR,81.14,overcast clouds,45.9833,4.7167,Hôtel Restaurant Campanile Villefranche-sur-Saône
610,Ratnagiri,IN,80.1,heavy intensity rain,16.9833,73.3,Hotel Landmark
612,Paka,MY,79.18,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
615,Mahon,ES,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
616,Dingle,PH,77.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
618,Cardenas,CU,77.76,light rain,23.0375,-81.2047,Casa JF 1906
619,Buala,SB,80.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
621,Mao,ES,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
623,Mana,GF,76.32,moderate rain,5.6592,-53.7767,LE SAMANA
624,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
625,Pitimbu,BR,79.39,light rain,-7.4706,-34.8086,Reserva do Abiaí
630,Inyonga,TZ,74.16,broken clouds,-6.7167,32.0667,Eden Rock Lodge
631,Pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
633,Touros,BR,84.52,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
