City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Darnah,LY,32.767,22.6367,75.58,63,0,17.13,clear sky
83,Nouadhibou,MR,20.931,-17.0347,67.5,83,95,26.55,overcast clouds
84,Clyde River,CA,70.4692,-68.5914,34.97,98,100,6.91,overcast clouds
85,Chapais,CA,49.7834,-74.8492,58.28,64,87,7.31,overcast clouds
86,Salalah,OM,17.0151,54.0924,86.09,74,40,10.36,light rain
87,Cape Town,ZA,-33.9258,18.4232,62.35,70,0,4.0,clear sky
88,Mahibadhoo,MV,3.7833,72.9667,82.81,78,79,12.28,broken clouds
89,Saint-Pierre,RE,-21.3393,55.4781,73.08,83,0,4.61,clear sky
90,Matale,LK,7.4721,80.6234,72.3,93,61,4.76,broken clouds
91,Hofn,IS,64.2539,-15.2082,50.5,82,100,15.99,overcast clouds
92,Lodja,CD,-3.4833,23.4333,80.17,61,70,3.06,broken clouds
93,Talnakh,RU,69.4865,88.3972,38.21,81,42,7.7,scattered clouds
94,Socorro,US,31.6546,-106.3033,78.06,45,0,17.27,clear sky
95,Sungairaya,ID,0.7,108.9,79.66,86,99,4.45,overcast clouds
96,Kodiak,US,57.79,-152.4072,62.11,34,100,11.5,overcast clouds
97,Yamethin,MM,20.4333,96.15,77.52,84,99,8.5,overcast clouds
98,Garden City,US,42.3256,-83.331,66.49,61,100,3.44,overcast clouds
99,San Anselmo,US,37.9747,-122.5616,71.1,73,0,3.44,clear sky
100,Erzin,TR,36.9559,36.2,76.01,76,100,3.0,overcast clouds
101,Ilam,NP,26.9167,87.9167,68.54,86,51,3.89,broken clouds
